Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
FRBK,Republic First Bcp,5.21,-0.17,-3.16%,5.44,5.04,199919,366601,11:14 ET
TUYA,Tuya Inc ADR,3.14,-0.1,-3.09%,3.4605,3.06,1061668,3266070,11:20 ET
MSGM,Motorsport Games Inc Cl A,2.0662,-0.0638,-3.00%,2.17,2,24586,103424,11:06 ET
YMM,Full Truck Alliance Co. Ltd ADR,7.18,-0.22,-2.97%,7.81,6.94,1548343,12978499,11:20 ET
BZ,Kanzhun Ltd ADR,25.5,-0.7,-2.67%,26.61,24.79,916653,6706883,11:20 ET
HNRG,Hallador Energy Company,3.97,-0.1,-2.46%,4.07,3.84,104288,327393,11:06 ET
SE,Sea Ltd ADR,113.42,-2.7,-2.33%,117.7999,109.67,5245649,10046123,11:20 ET
WRN,Western Copper Corp,2.23,-0.05,-2.19%,2.35,2.12,662357,390337,11:21 ET
AAOI,Applied Optoelect,3.21,-0.06,-1.83%,3.27,3.11,166954,253666,11:13 ET
NNVC,Nanoviricides Inc,2.3405,0.0005,0.02%,2.4199,2.2365,4605,38049,11:00 ET
NEXT,Nextdecade Corp,6.38,0.02,0.31%,6.36,5.34,2458698,1638103,11:21 ET
LCFY,Locafy Ltd.,3.99,0.65,19.46%,3.6,2.63,1440803,N/A,11:21 ET
MOGU,Mogu Inc ADR,3.726,3.354,901.61%,4.2,3.6999,53751,27522,11:03 ET
Downloaded from Barchart.com as of 03-28-2022 10:22am CDT,,,,,,,,,
